dataset,model,perturbation,p,seed,accuracy,stability
Cora,GCN,random,0.1,0,0.803,0.965
Cora,GCN,degree,0.1,0,0.808,0.977
Cora,GCN,class,0.1,0,0.807,0.985
Cora,GCN,random,0.2,0,0.796,0.936
Cora,GCN,degree,0.2,0,0.802,0.957
Cora,GCN,class,0.2,0,0.812,0.979
Cora,GCN,random,0.4,0,0.769,0.869
Cora,GCN,degree,0.4,0,0.783,0.928
Cora,GCN,class,0.4,0,0.818,0.96
Cora,GCN,random,0.1,1,0.799,0.968
Cora,GCN,degree,0.1,1,0.798,0.976
Cora,GCN,class,0.1,1,0.806,0.982
Cora,GCN,random,0.2,1,0.783,0.944
Cora,GCN,degree,0.2,1,0.79,0.959
Cora,GCN,class,0.2,1,0.805,0.979
Cora,GCN,random,0.4,1,0.775,0.893
Cora,GCN,degree,0.4,1,0.773,0.915
Cora,GCN,class,0.4,1,0.811,0.968
Cora,GCN,random,0.1,2,0.795,0.952
Cora,GCN,degree,0.1,2,0.803,0.979
Cora,GCN,class,0.1,2,0.807,0.986
Cora,GCN,random,0.2,2,0.791,0.93
Cora,GCN,degree,0.2,2,0.795,0.955
Cora,GCN,class,0.2,2,0.808,0.98
Cora,GCN,random,0.4,2,0.762,0.894
Cora,GCN,degree,0.4,2,0.781,0.933
Cora,GCN,class,0.4,2,0.815,0.957
Cora,GCN,random,0.1,3,0.792,0.975
Cora,GCN,degree,0.1,3,0.793,0.981
Cora,GCN,class,0.1,3,0.803,0.988
Cora,GCN,random,0.2,3,0.771,0.932
Cora,GCN,degree,0.2,3,0.786,0.962
Cora,GCN,class,0.2,3,0.805,0.971
Cora,GCN,random,0.4,3,0.752,0.866
Cora,GCN,degree,0.4,3,0.783,0.924
Cora,GCN,class,0.4,3,0.807,0.963
Cora,GCN,random,0.1,4,0.8,0.957
Cora,GCN,degree,0.1,4,0.796,0.974
Cora,GCN,class,0.1,4,0.808,0.985
Cora,GCN,random,0.2,4,0.779,0.922
Cora,GCN,degree,0.2,4,0.785,0.956
Cora,GCN,class,0.2,4,0.804,0.977
Cora,GCN,random,0.4,4,0.775,0.9
Cora,GCN,degree,0.4,4,0.776,0.931
Cora,GCN,class,0.4,4,0.805,0.959
Cora,GAT,random,0.1,0,0.788,0.964
Cora,GAT,degree,0.1,0,0.792,0.966
Cora,GAT,class,0.1,0,0.802,0.991
Cora,GAT,random,0.2,0,0.774,0.929
Cora,GAT,degree,0.2,0,0.785,0.95
Cora,GAT,class,0.2,0,0.796,0.977
Cora,GAT,random,0.4,0,0.76,0.865
Cora,GAT,degree,0.4,0,0.781,0.912
Cora,GAT,class,0.4,0,0.809,0.953
Cora,GAT,random,0.1,1,0.75,0.958
Cora,GAT,degree,0.1,1,0.752,0.962
Cora,GAT,class,0.1,1,0.761,0.978
Cora,GAT,random,0.2,1,0.746,0.908
Cora,GAT,degree,0.2,1,0.749,0.942
Cora,GAT,class,0.2,1,0.764,0.976
Cora,GAT,random,0.4,1,0.727,0.844
Cora,GAT,degree,0.4,1,0.73,0.903
Cora,GAT,class,0.4,1,0.774,0.946
Cora,GAT,random,0.1,2,0.769,0.964
Cora,GAT,degree,0.1,2,0.773,0.969
Cora,GAT,class,0.1,2,0.781,0.98
Cora,GAT,random,0.2,2,0.748,0.93
Cora,GAT,degree,0.2,2,0.769,0.945
Cora,GAT,class,0.2,2,0.786,0.977
Cora,GAT,random,0.4,2,0.731,0.868
Cora,GAT,degree,0.4,2,0.74,0.895
Cora,GAT,class,0.4,2,0.792,0.945
Cora,GAT,random,0.1,3,0.781,0.957
Cora,GAT,degree,0.1,3,0.778,0.96
Cora,GAT,class,0.1,3,0.8,0.982
Cora,GAT,random,0.2,3,0.776,0.906
Cora,GAT,degree,0.2,3,0.783,0.946
Cora,GAT,class,0.2,3,0.796,0.963
Cora,GAT,random,0.4,3,0.737,0.859
Cora,GAT,degree,0.4,3,0.755,0.89
Cora,GAT,class,0.4,3,0.799,0.946
Cora,GAT,random,0.1,4,0.789,0.966
Cora,GAT,degree,0.1,4,0.786,0.968
Cora,GAT,class,0.1,4,0.791,0.988
Cora,GAT,random,0.2,4,0.772,0.911
Cora,GAT,degree,0.2,4,0.778,0.953
Cora,GAT,class,0.2,4,0.795,0.973
Cora,GAT,random,0.4,4,0.764,0.866
Cora,GAT,degree,0.4,4,0.763,0.901
Cora,GAT,class,0.4,4,0.808,0.941
Cora,SAGE,random,0.1,0,0.794,0.962
Cora,SAGE,degree,0.1,0,0.8,0.986
Cora,SAGE,class,0.1,0,0.803,0.992
Cora,SAGE,random,0.2,0,0.795,0.928
